TenureYears,RelativeSalary,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30,Absences,PerformanceScoreNum,LowEngagementFlag,LowSatisfactionFlag,HighAbsenceFlag,LateRecentlyFlag,Attrition
14.591780821917808,1.0425738715884572,4.6,5,0,0,1,4,0,0,0,0,0
1.2164383561643837,1.0759530968229007,4.96,3,6,0,17,3,0,1,1,0,1
1.2246575342465753,1.0834221647366369,3.02,3,0,0,3,3,1,1,0,0,1
18.084931506849315,1.084022629642041,4.84,5,0,0,15,3,0,0,1,0,0
5.161643835616438,0.8477396893655542,5.0,4,0,0,2,3,0,0,0,0,1
14.076712328767123,0.9602101020638707,5.0,5,0,0,15,4,0,0,1,0,0
11.238356164383562,1.007059156805923,3.04,3,4,0,19,3,1,1,1,0,0
12.35068493150685,0.9901833085919552,5.0,4,0,0,19,3,0,0,1,0,0
16.589041095890412,0.7979011022170195,4.46,3,0,0,4,3,0,1,0,0,0
11.084931506849315,0.5169544748736512,5.0,5,6,0,16,3,0,0,1,0,0
6.010958904109589,0.911872677178846,4.2,4,0,0,12,3,0,0,1,0,1
4.468493150684932,0.7874596846952716,4.2,3,0,0,15,3,0,1,1,0,1
11.238356164383562,0.9512011789257139,4.28,4,5,0,9,4,0,0,0,0,0
13.961643835616439,0.9792415036490374,4.6,4,0,0,7,3,0,0,0,0,0
4.534246575342466,0.8757613849510757,5.0,5,0,0,1,3,0,0,0,0,1
6.454794520547945,0.9646468705315783,5.0,4,0,0,20,3,0,0,1,0,1
9.542465753424658,1.1697556744691724,4.4,3,0,0,16,4,0,1,1,0,0
14.843835616438357,0.984528930732734,5.0,5,0,0,12,3,0,0,1,0,0
1.1835616438356165,1.133265419827447,4.5,4,5,0,8,3,0,0,0,0,1
12.580821917808219,0.8881876725767981,4.2,4,0,0,13,3,0,0,1,0,0
13.846575342465753,0.8513925175400954,5.0,3,0,0,13,3,0,1,1,0,0
12.465753424657533,1.082821699831233,4.2,3,0,0,2,3,0,1,0,0,0
11.583561643835617,1.0493124221935468,5.0,3,0,0,19,4,0,1,1,0,0
14.843835616438357,1.108208021665259,2.0,3,0,2,3,2,1,1,0,1,0
